"","gravel_signal","sand_signal","gravel_noise","sand_noise","gravel_rate","sand_rate","gravel_feed","sand_feed","lower_gravel","upper_gravel","lower_sand","upper_sand"
"1",40.6267001880904,3.62573934431757,12.6956142458496,7.90120564179394,31.13777778,0,32.5,32.5,27.9310859422407,53.32231443394,-4.27546629747637,11.5269449861115
"2",52.8182895141715,9.5661244162321,16.2797489740269,10.1458211113132,37.68888889,0,32.5,32.5,36.5385405401446,69.0980384881984,-0.579696695081115,19.7119455275453
"3",50.2116710327726,15.4446362137817,18.0946799870388,11.3462939820875,63.33333333,0,32.5,32.5,32.1169910457338,68.3063510198114,4.09834223169414,26.7909301958692
"4",26.9719317327736,14.6019690671916,18.9012400507522,11.6966432804706,30.88888889,0,32.5,32.5,8.0706916820214,45.8731717835258,2.90532578672102,26.2986123476622
"5",10.1181151986849,9.62009806307302,19.560808625612,11.4911141840285,22,0,32.5,32.5,-9.44269342692711,29.6789238242969,-1.87101612095543,21.1112122471015
"6",20.8451355160052,9.04788254694474,20.3450571705768,10.9078710226077,27.77777778,0,32.5,32.5,0.500078345428449,41.190192686582,-1.85998847566297,19.9557535695524
"7",54.8654380293027,17.7421074251096,21.054000216016,10.1805347440064,58.88888889,2.562222222,32.5,32.5,33.8114378132867,75.9194382453188,7.56157268110324,27.9226421691161
"8",82.7086896314953,31.34712432205,21.8133510076491,9.87105920332317,117.5555556,36.88444444,32.5,32.5,60.8953386238462,104.522040639144,21.4760651187269,41.2181835253732
"9",79.2644013948861,37.9761283224756,20.878517636528,9.20573315726162,90.22222222,43.64444444,32.5,32.5,58.3858837583581,100.142919031414,28.770395165214,47.1818614797372
"10",60.094718679937,35.2155069682777,19.3139128047525,8.57475107578862,60.44444444,33.41111111,32.5,32.5,40.7808058751844,79.4086314846895,26.6407558924891,43.7902580440663
"11",48.8573070633435,30.2730972301655,18.1213188737952,8.2659898888008,51.66666667,34.96222222,32.5,32.5,30.7359881895483,66.9786259371388,22.0071073413647,38.5390871189663
"12",47.1485104125511,27.9793043154963,17.4222270310832,8.22852143845272,45.55555556,39.97777778,32.5,32.5,29.7262833814679,64.5707374436343,19.7507828770436,36.207825753949
"13",43.6759889357809,26.5822296647661,17.386647382691,8.13975794603366,28.88888889,32.76,32.5,32.5,26.2893415530899,61.0626363184719,18.4424717187325,34.7219876107998
"14",38.5373488732935,25.7491328428031,17.4214728552519,7.96094766317757,25,34.09777778,32.5,32.5,21.1158760180416,55.9588217285454,17.7881851796255,33.7100805059806
"15",37.4325496162895,25.2523974872235,18.2067550583183,7.62506046699019,14.36888889,26.58666667,32.5,32.5,19.2257945579712,55.6393046746079,17.6273370202333,32.8774579542137
"16",40.4699105267535,26.8462397745671,20.0205663012433,7.28602514026944,13.37333333,35.72444444,32.5,32.5,20.4493442255102,60.4904768279968,19.5602146342976,34.1322649148365
"17",39.5660990267714,28.2685418941109,21.6581880825088,6.85868631619031,8.282222222,32.83333333,32.5,32.5,17.9079109442626,61.2242871092803,21.4098555779206,35.1272282103012
"18",32.6606652133991,27.7059652249584,21.8411891480405,6.325654918026,6.684444444,32.75111111,32.5,32.5,10.8194760653586,54.5018543614396,21.3803103069324,34.0316201429844
