"","gravel_signal","sand_signal","gravel_noise","sand_noise","gravel_rate","sand_rate","gravel_feed","sand_feed","lower_gravel","upper_gravel","lower_sand","upper_sand"
"1",18.4072004637905,NA,6.62180946163044,NA,10.17,NA,10.83,NA,11.7853910021601,25.029009925421,NA,NA
"2",22.5967403579291,NA,6.35657200617719,NA,17.56,NA,10.83,NA,16.240168351752,28.9533123641063,NA,NA
"3",17.5552238650872,NA,6.32615411692382,NA,18.29,NA,10.83,NA,11.2290697481634,23.8813779820111,NA,NA
"4",14.9732071022687,NA,6.35574683076075,NA,20,NA,10.83,NA,8.61746027150797,21.3289539330295,NA,NA
"5",23.4853509249925,NA,6.29557845902916,NA,16.49,NA,10.83,NA,17.1897724659633,29.7809293840216,NA,NA
"6",26.4550522126283,NA,6.34634906408099,NA,13.36,NA,10.83,NA,20.1087031485473,32.8014012767092,NA,NA
"7",15.9559600099873,NA,6.25806118854308,NA,4.2,NA,10.83,NA,9.69789882144426,22.2140211985304,NA,NA
"8",13.8687335859429,7.44434426769782,6.03351936677358,2.09935161221836,4.9,0.01,NA,10.83,7.8352142191693,19.9022529527165,5.34499265547946,9.54369587991618
"9",24.7465521356645,11.9455300296208,5.79998729443715,2.1440638844243,30.76,3.2,NA,10.83,18.9465648412273,30.5465394301016,9.80146614519652,14.0895939140451
"10",25.7933331068257,13.2301080622911,6.09588017833531,2.08416140749942,43.92,11.29,NA,10.83,19.6974529284904,31.889213285161,11.1459466547917,15.3142694697905
"11",16.6280323421342,10.2815589920234,6.61937195206532,2.08080832708033,26.39,8.93,NA,10.83,10.0086603900689,23.2474042941995,8.20075066494312,12.3623673191038
"12",16.0534072905525,11.2559958502956,7.03524977186228,2.02721219831434,24.24,8.76,NA,10.83,9.01815751869021,23.0886570624148,9.22878365198131,13.28320804861
"13",21.3375561932521,14.797474938363,6.47038937842799,2.0068630863407,29.19,13.75,NA,10.83,14.8671668148241,27.8079455716801,12.7906118520223,16.8043380247037
"14",20.2892208041625,13.9715777388868,6.03932179726904,2.01568113209569,19.87,8.55,NA,10.83,14.2498990068935,26.3285426014316,11.9558966067911,15.9872588709825
"15",16.6277456070053,11.4340840069564,5.71059001645184,2.03101936714596,18.47,9.79,NA,10.83,10.9171555905534,22.3383356234571,9.40306463981041,13.4651033741023
"16",16.4698527795167,13.0301291380064,5.35341627972383,2.04901139270025,19.36,11.46,NA,10.83,11.1164364997929,21.8232690592405,10.9811177453061,15.0791405307066
"17",16.9964906312103,15.0587011324141,4.92439968793873,2.18318188508775,16.4,12.08,NA,10.83,12.0720909432715,21.920890319149,12.8755192473264,17.2418830175019
"18",16.4140657663808,13.7621500201477,4.48939843293132,2.45125917855907,15.01,12.14,NA,10.83,11.9246673334495,20.9034641993121,11.3108908415886,16.2134091987067
"19",14.9724008856473,12.3398901111573,4.15318547632542,2.68521749150757,14.12,11.64,NA,10.83,10.8192154093219,19.1255863619728,9.65467261964977,15.0251076026649
"20",12.769578292241,11.9704475273782,3.87485590533407,2.68021497286776,8.83,7.59,NA,10.83,8.89472238690693,16.6444341975751,9.29023255451041,14.6506625002459
"21",12.4132892418662,11.2185432246123,3.53924891705568,2.61447290811873,8.39,9.96,NA,10.83,8.87404032481048,15.9525381589218,8.60407031649356,13.833016132731
"22",13.4970729812878,10.4508202017373,3.06845804283319,2.86626510208495,11.63,12.78,NA,10.83,10.4286149384546,16.565531024121,7.58455509965231,13.3170853038222
"23",11.8575068073171,9.59485072681082,2.90602973629737,3.44538014161023,9.26,10.56,NA,10.83,8.95147707101973,14.7635365436145,6.14947058520059,13.0402308684211
"24",9.47073242717645,8.46138779389522,2.87984443835417,4.17728417710849,7.16,9.21,NA,10.83,6.59088798882228,12.3505768655306,4.28410361678673,12.6386719710037
"25",10.724965211659,8.32743896245092,2.98125768472549,4.55866559593037,7.76,12.3,NA,10.83,7.74370752693349,13.7062228963845,3.76877336652055,12.8861045583813
"26",12.0621213738124,8.45888878553083,3.16596954980795,4.95192385317771,8.04,14.02,NA,10.83,8.89615182400443,15.2280909236203,3.50696493235312,13.4108126387085
"27",9.59316851586874,7.19597970399531,3.30089142307864,5.25417635562663,6.51,11.11,NA,10.83,6.2922770927901,12.8940599389474,1.94180334836868,12.4501560596219
"28",7.96118421359667,6.14744311412646,3.45129723659498,5.58749311592771,4.03,6.57,NA,10.83,4.50988697700169,11.4124814501916,0.559949998198749,11.7349362300542
"29",9.93813983991264,6.78611856633247,3.63274240067818,6.07530382900552,6.64,13.04,NA,10.83,6.30539743923446,13.5708822405908,0.710814737326947,12.861422395338
"30",10.3214194478492,6.96263173835323,3.88855429410355,6.25735033816069,5.18,11.97,NA,10.83,6.43286515374563,14.2099737419527,0.705281400192542,13.2199820765139
"31",8.28568364383525,6.07088142157918,4.20525796644955,6.70552884983233,3.9,9.42,NA,10.83,4.08042567738571,12.4909416102848,-0.634647428253153,12.7764102714115
"32",8.13217889011549,6.27896191093251,4.65004613251516,8.39219192548108,2.33,9.9,NA,NA,3.48213275760033,12.7822250226306,-2.11323001454856,14.6711538364136
"33",9.01117565209427,7.69585094737374,5.08391996014265,11.6709488451902,4.33,21.99,NA,NA,3.92725569195162,14.0950956122369,-3.97509789781645,19.3667997925639
"34",8.03072274422005,7.82937402811486,5.38129845162959,14.5367028136417,3.86,26.11,NA,NA,2.64942429259046,13.4120211958496,-6.70732878552687,22.3660768417566
"35",7.38417825416339,7.35645478390884,5.46374329534794,15.9335948735822,3.46,23.69,NA,NA,1.92043495881545,12.8479215495113,-8.57714008967335,23.290049657491
