"","gravel_signal","sand_signal","gravel_noise","sand_noise","gravel_rate","sand_rate","gravel_feed","sand_feed","lower_gravel","upper_gravel","lower_sand","upper_sand"
"1",24.5601483183924,NA,12.1206584750649,NA,15.83333333,NA,21.67,NA,12.4394898433275,36.6808067934574,NA,NA
"2",31.1748475605181,NA,14.0221395294893,NA,31.94444444,NA,21.67,NA,17.1527080310288,45.1969870900074,NA,NA
"3",25.0874837690922,NA,14.3997026769647,NA,4.222222222,NA,21.67,NA,10.6877810921275,39.487186446057,NA,NA
"4",17.8839740689313,NA,13.5423662912411,NA,33.88888889,NA,21.67,NA,4.34160777769018,31.4263403601725,NA,NA
"5",14.7207222431462,NA,12.5446991557074,NA,20.55555556,NA,21.67,NA,2.17602308743875,27.2654213988536,NA,NA
"6",25.2763475875953,NA,12.2062432597019,NA,18.33333333,NA,21.67,NA,13.0701043278934,37.4825908472973,NA,NA
"7",43.4509437450291,12.3219789159504,12.0935315365662,4.14636133057556,31.11111111,0.497777778,NA,21.67,31.3574122084628,55.5444752815953,8.17561758537483,16.4683402465259
"8",61.9058584401009,21.7669201055933,11.9371627507198,5.10240631857557,88.33333333,21.38666667,NA,21.67,49.9686956893812,73.8430211908207,16.6645137870177,26.8693264241688
"9",61.3448204595945,23.0588709960349,10.6597721956171,4.98814975373867,62.22222222,22.79777778,NA,21.67,50.6850482639774,72.0045926552116,18.0707212422962,28.0470207497735
"10",47.3532360213079,23.8250641683165,9.22939899988348,4.18869367486197,45,21.57777778,NA,21.67,38.1238370214244,56.5826350211914,19.6363704934546,28.0137578431785
"11",31.3027207823939,19.398843869035,8.25436658101253,3.88447306073351,26.66666667,16.83555556,NA,21.67,23.0483542013814,39.5570873634064,15.5143708083015,23.2833169297685
"12",25.0479059571898,21.7963254396318,7.58151883267076,4.29832278348269,30,23.61555556,NA,21.67,17.466387124519,32.6294247898605,17.4980026561492,26.0946482231145
"13",25.9045822860441,25.9652772958569,6.85016334993903,4.26494651876547,28.88888889,25.14222222,NA,21.67,19.0544189361051,32.7547456359831,21.7003307770915,30.2302238146224
"14",28.2040151937089,28.0316538693092,5.44723908980516,3.62777052803997,24.44444444,25.31333333,NA,21.67,22.7567761039037,33.651254283514,24.4038833412692,31.6594243973491
"15",27.1853193915068,21.3547083771215,3.80816926683848,1.34760658330965,20,20.7,NA,21.67,23.3771501246683,30.9934886583452,20.0071017938119,22.7023149604312
"16",25.813336317622,18.1069459163078,3.94252251613631,1.51041939238639,22.22222222,23.94,NA,21.67,21.8708138014857,29.7558588337583,16.5965265239214,19.6173653086942
"17",23.6495925173288,15.3240848089382,4.08932231243248,1.53541354711939,14.44444444,23.09333333,NA,21.67,19.5602702048963,27.7389148297613,13.7886712618188,16.8594983560576
"18",22.3671617430477,14.2397033887044,4.0718231889435,1.60668773462245,8.888888889,24.07333333,NA,21.67,18.2953385541042,26.4389849319912,12.633015654082,15.8463911233269
