"","gravel_signal","sand_signal","gravel_noise","sand_noise","gravel_rate","sand_rate","gravel_feed","sand_feed","lower_gravel","upper_gravel","lower_sand","upper_sand"
"1",4883.00701620221,NA,1544.75382691508,NA,6001,NA,4875,0,3338.25318928713,6427.7608431173,NA,NA
"2",5127.36907140799,NA,1565.89610643547,NA,7818,NA,4875,0,3561.47296497252,6693.26517784347,NA,NA
"3",5338.48607358188,NA,1513.84435059997,NA,7989,NA,4875,0,3824.64172298191,6852.33042418185,NA,NA
"4",5548.79052392379,NA,1431.85652207027,NA,6088,NA,4875,0,4116.93400185352,6980.64704599406,NA,NA
"5",5792.77332203654,NA,1384.82075686045,NA,7617,NA,4875,0,4407.95256517609,7177.59407889699,NA,NA
"6",6042.72200840614,NA,1358.77523378719,NA,7433,NA,4875,0,4683.94677461896,7401.49724219333,NA,NA
"7",6300.68952455733,NA,1340.25166610657,NA,5560,NA,4875,0,4960.43785845075,7640.9411906639,NA,NA
"8",6567.66961400017,NA,1333.68740080902,NA,5758,NA,4875,0,5233.98221319115,7901.35701480919,NA,NA
"9",6817.82526046876,NA,1321.99583024305,NA,5594,NA,4875,0,5495.82943022571,8139.82109071182,NA,NA
"10",7024.69835532354,NA,1311.54593777624,NA,6682,NA,4875,0,5713.1524175473,8336.24429309977,NA,NA
"11",7154.17031024203,NA,1301.19913875393,NA,6603,NA,4875,0,5852.9711714881,8455.36944899596,NA,NA
"12",7190.16095546676,NA,1290.58948200069,NA,5376,NA,4875,0,5899.57147346606,8480.75043746745,NA,NA
"13",7130.0492341448,NA,1253.91085250402,NA,5174,NA,4875,0,5876.13838164078,8383.96008664881,NA,NA
"14",6974.13110888778,NA,1209.84556141543,NA,6505,NA,4875,0,5764.28554747235,8183.97667030321,NA,NA
"15",6727.13672844659,NA,1193.33174540469,NA,6317,NA,4875,0,5533.8049830419,7920.46847385128,NA,NA
"16",6413.25964348405,NA,1197.7620718196,NA,6408,NA,4875,0,5215.49757166445,7611.02171530365,NA,NA
"17",6059.62110025813,-162.122852499453,1203.01768134682,233.528270009292,3210,1,4875,243.75,4856.60341891131,7262.63878160495,-395.651122508745,71.405417509839
"18",5704.338102435,-175.56739306195,1183.74298988503,241.274506699765,3736,1,4875,243.75,4520.59511254996,6888.08109232003,-416.841899761715,65.7071136378157
"19",5365.37009119983,-188.252573066886,1157.72158077215,247.737344233872,4051,1.5,4875,243.75,4207.64851042768,6523.09167197198,-435.989917300758,59.484771166986
"20",5053.2029155913,-201.865767037331,1121.74971470665,252.449616866659,4773,1.8,4875,243.75,3931.45320088465,6174.95263029796,-454.315383903989,50.5838498293282
"21",4766.3782072434,-212.812274551039,1089.31835247115,257.491130672441,4285,1.7,4875,243.75,3677.05985477225,5855.69655971454,-470.303405223481,44.6788561214022
"22",4499.37978730238,-221.185402594782,1062.06288994022,260.353472073354,3898,1.5,4875,243.75,3437.31689736216,5561.4426772426,-481.538874668135,39.1680694785721
