Run,Time (hr),% sand,End of Run,Gravel (g) out,Sand (g) out,Total Feed (g),Sand Feed (g),Gravel Feed (g),gravel(g/s),gravel(g/ms),sand(g/s),sand(g/ms),gravelfeed (g/ms),sandfeed(g/ms)
C11-0845,65.75,50.00,,2578.00,2771.80,4875.00,2437.50,2437.50,2.86,5.728888889,3.08,6.159555556,5.4167,5.42
C11-0900,66.00,50.00,,2124.00,2214.70,4875.00,2437.50,2437.50,2.36,4.72,2.46,4.921555556,5.4167,5.42
C11-0915,66.25,50.00,,1512.00,1961.00,4875.00,2437.50,2437.50,1.68,3.36,2.18,4.357777778,5.4167,5.42
C11-0930,66.50,50.00,,1048.00,1252.80,4875.00,2437.50,2437.50,1.16,2.328888889,1.39,2.784,5.4167,5.42
C11-0945,66.75,50.00,,1757.00,1712.70,4875.00,2437.50,2437.50,1.95,3.904444444,1.90,3.806,5.4167,5.42
C11-1000,67.00,50.00,50.00,1466.00,1546.50,4875.00,2437.50,2437.50,1.63,3.257777778,1.72,3.436666667,5.4167,5.42
C12-0015,67.25,100.00,,4938.00,3579.00,4875.00,4875.00,0.00,5.49,10.97333333,3.98,7.953333333,0.0000,10.83
C12-0030,67.50,100.00,,14280.00,12250.00,4875.00,4875.00,0.00,15.87,31.73333333,13.61,27.22222222,0.0000,10.83
C12-0045,67.75,100.00,,7975.00,7515.00,4875.00,4875.00,0.00,8.86,17.72222222,8.35,16.7,0.0000,10.83
C12-0100,68.00,100.00,,7115.00,6928.00,4875.00,4875.00,0.00,7.91,15.81111111,7.70,15.39555556,0.0000,10.83
C12-0115,68.25,100.00,,5193.00,5302.00,4875.00,4875.00,0.00,5.77,11.54,5.89,11.78222222,0.0000,10.83
C12-0130,68.50,100.00,,8394.00,9482.00,4875.00,4875.00,0.00,9.33,18.65333333,10.54,21.07111111,0.0000,10.83
C12-0145,68.75,100.00,,5936.00,7075.00,4875.00,4875.00,0.00,6.60,13.19111111,7.86,15.72222222,0.0000,10.83
C12-0200,69.00,100.00,,1493.00,2659.90,4875.00,4875.00,0.00,1.66,3.317777778,2.96,5.910888889,0.0000,10.83
C12-0215,69.25,100.00,,797.00,681.00,4875.00,4875.00,0.00,0.89,1.771111111,0.76,1.513333333,0.0000,10.83
C12-0230,69.50,100.00,,4345.00,5136.10,4875.00,4875.00,0.00,4.83,9.655555556,5.71,11.41355556,0.0000,10.83
C12-0245,69.75,100.00,,4535.00,5885.50,4875.00,4875.00,0.00,5.04,10.07777778,6.54,13.07888889,0.0000,10.83
C12-0300,70.00,100.00,,3784.00,4988.00,4875.00,4875.00,0.00,4.20,8.408888889,5.54,11.08444444,0.0000,10.83
C12-0315,70.25,100.00,,3085.00,4041.00,4875.00,4875.00,0.00,3.43,6.855555556,4.49,8.98,0.0000,10.83
C12-0330,70.50,100.00,,4207.00,5956.00,4875.00,4875.00,0.00,4.67,9.348888889,6.62,13.23555556,0.0000,10.83
C12-0345,70.75,100.00,,4011.00,6077.00,4875.00,4875.00,0.00,4.46,8.913333333,6.75,13.50444444,0.0000,10.83
C12-0400,71.00,100.00,,2449.00,3869.00,4875.00,4875.00,0.00,2.72,5.442222222,4.30,8.597777778,0.0000,10.83
C12-0415,71.25,100.00,,2864.00,4381.00,4875.00,4875.00,0.00,3.18,6.364444444,4.87,9.735555556,0.0000,10.83
C12-0430,71.50,100.00,,3107.00,5660.00,4875.00,4875.00,0.00,3.45,6.904444444,6.29,12.57777778,0.0000,10.83
C12-0445,71.75,100.00,,3062.00,6067.00,4875.00,4875.00,0.00,3.40,6.804444444,6.74,13.48222222,0.0000,10.83
C12-0500,72.00,100.00,,2944.00,5144.00,4875.00,4875.00,0.00,3.27,6.542222222,5.72,11.43111111,0.0000,10.83
C12-0515,72.25,100.00,,1714.00,2760.00,4875.00,4875.00,0.00,1.90,3.808888889,3.07,6.133333333,0.0000,10.83
C12-0530,72.50,100.00,,2563.00,4963.00,4875.00,4875.00,0.00,2.85,5.695555556,5.51,11.02888889,0.0000,10.83
C12-0545,72.75,100.00,,2301.00,5643.00,4875.00,4875.00,0.00,2.56,5.113333333,6.27,12.54,0.0000,10.83
C12-0600,73.00,100.00,,1502.00,5188.00,4875.00,4875.00,0.00,1.67,3.337777778,5.76,11.52888889,0.0000,10.83
C12-0615,73.25,100.00,,1092.00,3592.00,4875.00,4875.00,0.00,1.21,2.426666667,3.99,7.982222222,0.0000,10.83
C12-0630,73.50,100.00,,1220.00,5242.00,4875.00,4875.00,0.00,1.36,2.711111111,5.82,11.64888889,0.0000,10.83
C12-0645,73.75,100.00,,1029.00,5162.00,4875.00,4875.00,0.00,1.14,2.286666667,5.74,11.47111111,0.0000,10.83
C12-0700,74.00,100.00,,1121.00,4955.00,4875.00,4875.00,0.00,1.25,2.491111111,5.51,11.01111111,0.0000,10.83
C12-0715,74.25,100.00,,765.00,3237.00,4875.00,4875.00,0.00,0.85,1.7,3.60,7.193333333,0.0000,10.83
C12-0730,74.50,100.00,,971.00,4624.00,4875.00,4875.00,0.00,1.08,2.157777778,5.14,10.27555556,0.0000,10.83
C12-0745,74.75,100.00,,925.00,5421.00,4875.00,4875.00,0.00,1.03,2.055555556,6.02,12.04666667,0.0000,10.83
C12-0800,75.00,100.00,,747.00,5075.00,4875.00,4875.00,0.00,0.83,1.66,5.64,11.27777778,0.0000,10.83
C12-0815,75.25,100.00,,641.80,4065.00,4875.00,4875.00,0.00,0.71,1.426222222,4.52,9.033333333,0.0000,10.83
C12-0830,75.50,100.00,,821.60,5377.00,4875.00,4875.00,0.00,0.91,1.825777778,5.97,11.94888889,0.0000,10.83
C12-0845,75.75,100.00,,638.00,5054.00,4875.00,4875.00,0.00,0.71,1.417777778,5.62,11.23111111,0.0000,10.83
C12-0900,76.00,100.00,,799.40,5564.00,4875.00,4875.00,0.00,0.89,1.776444444,6.18,12.36444444,0.0000,10.83
C12-0915,76.25,100.00,,793.40,3829.00,4875.00,4875.00,0.00,0.88,1.763111111,4.25,8.508888889,0.0000,10.83
C12-0930,76.50,100.00,,612.00,5576.00,4875.00,4875.00,0.00,0.68,1.36,6.20,12.39111111,0.0000,10.83
C12-0945,76.75,100.00,,615.40,5417.00,4875.00,4875.00,0.00,0.68,1.367555556,6.02,12.03777778,0.0000,10.83
C12-1000,77.00,100.00,100.00,535.30,5149.00,4875.00,4875.00,0.00,0.59,1.189555556,5.72,11.44222222,0.0000,10.83
