"","gravel_signal","gravel_noise","gravel_rate","gravel_feed","lower_gravel","upper_gravel"
"1",9.92357177612711,1.72181579614025,9.495555556,11,8.20175597998686,11.6453875722674
"2",9.9267957882366,1.72069643998172,11.76,11,8.20609934825488,11.6474922282183
"3",9.05588110942,1.74258730709063,12.52,11,7.31329380232938,10.7984684165106
"4",7.68695709334502,1.67880402038136,11.29333333,11,6.00815307296366,9.36576111372637
"5",6.56406403437514,1.59720921918157,7.302222222,11,4.96685481519356,8.16127325355671
"6",6.44146718452775,1.5558763093893,6.168888889,11,4.88559087513845,7.99734349391704
"7",7.48577983440101,1.53238013853753,7.166666667,11,5.95339969586348,9.01815997293853
"8",9.28750954877622,1.52332369829263,7.364444444,11,7.76418585048359,10.8108332470689
"9",11.1394979192782,1.49184085644006,10.06888889,11,9.64765706283813,12.6313387757183
"10",12.3239539709388,1.46812610132673,14.39555556,11,10.855827869612,13.7920800722655
"11",12.4826810612286,1.44919768275629,12.64222222,11,11.0334833784723,13.9318787439849
"12",11.8688700642143,1.4384418798501,10.74,11,10.4304281843642,13.3073119440644
"13",10.9885631021466,1.40785482026203,10.05333333,11,9.58070828188457,12.3964179224086
"14",10.2657342776027,1.38492664977645,9.071111111,11,8.88080762782626,11.6506609273792
"15",9.91826464786146,1.3650489802771,10.32444444,11,8.55321566758436,11.2833136281386
"16",9.96593210558081,1.36746041703442,11.08444444,11,8.59847168854639,11.3333925226152
"17",10.3919174309759,1.38953229072505,12.3,11,9.00238514025082,11.7814497217009
"18",11.1589763922225,1.39491431761149,12.71333333,11,9.76406207461098,12.553890709834
"19",12.2233203552964,1.39110154264318,10.85111111,11,10.8322188126532,13.6144218979396
"20",13.4679197459322,1.37983377037967,12.46,11,12.0880859755525,14.8477535163119
"21",14.5652053851281,1.37577907245076,14.94,11,13.1894263126773,15.9409844575788
"22",15.150946776942,1.37528680240397,17.79111111,11,13.7756599745381,16.526233579346
"23",15.0578028832631,1.35588362259547,15.56444444,11,13.7019192606676,16.4136865058586
"24",14.4780879036564,1.33383040352554,15.71333333,11,13.1442575001309,15.811918307182
"25",13.7457592727851,1.30832828621042,11.21777778,11,12.4374309865747,15.0540875589955
"26",13.2125614662653,1.2539175989909,11.81555556,11,11.9586438672744,14.4664790652562
"27",13.031298594318,1.19007398206946,12.51333333,11,11.8412246122485,14.2213725763875
"28",13.1739688018187,1.11998473164909,13.82222222,11,12.0539840701697,14.2939535334678
"29",13.51040137399,1.04848904003958,13.79111111,11,12.4619123339505,14.5588904140296
"30",13.8955089135763,0.98283047550502,13.84888889,11,12.9126784380713,14.8783393890813
"31",14.1922242891564,0.921117417758801,14.22666667,11,13.2711068713976,15.1133417069152
"32",14.2494403458661,0.860509876138969,13.64444444,11,13.3889304697272,15.1099502220051
"33",13.9139498418622,0.799860080201127,14.40222222,11,13.1140897616611,14.7138099220634
"34",13.0956319886354,0.73519113027711,14.70444444,11,12.3604408583583,13.8308231189125
"35",11.8448059562171,0.675115640502822,11.56888889,11,11.1696903157143,12.5199215967199
"36",10.3708701925287,0.613694117648796,10.80444444,11,9.75717607487992,10.9845643101775
"37",8.92936865410836,0.552742334893929,9.468888889,11,8.37662631921443,9.48211098900229
"38",7.73209491369458,0.530512724778443,7.504444444,11,7.20158218891614,8.26260763847303
"39",6.88950499201984,0.524021190578234,6.415555556,11,6.36548380144161,7.41352618259808
"40",6.39369656409976,0.519057978763914,6.688888889,11,5.87463858533585,6.91275454286368
"41",6.15968540239971,0.517351048235318,5.793333333,11,5.6423343541644,6.67703645063503
"42",6.10306139839974,0.526307050851868,6.126666667,11,5.57675434754787,6.6293684492516
"43",6.13386388450655,0.541165341872877,6.482222222,11,5.59269854263367,6.67502922637943
"44",6.15177392581235,0.558369432280993,5.882222222,11,5.59340449353136,6.71014335809334
"45",6.0705662723604,0.576549265490138,6.191111111,11,5.49401700687026,6.64711553785054
"46",5.85318596377735,0.596561170154895,6.8,11,5.25662479362245,6.44974713393224
"47",5.54263546134984,0.619677579193442,5.655555556,11,4.92295788215639,6.16231304054328
"48",5.24732440437724,0.645037336766103,4.817777778,11,4.60228706761113,5.89236174114334
"49",5.07064055372727,0.667860483212665,4.237777778,11,4.4027800705146,5.73850103693993
"50",5.06359687719233,0.683866459845694,4.262222222,11,4.37973041734663,5.74746333703802
"51",5.19371979645647,0.696555868475173,4.44,11,4.4971639279813,5.89027566493165
"52",5.42003656801784,0.708794135414667,5.817777778,11,4.71124243260318,6.12883070343251
"53",5.71693497511341,0.721173709428815,7.208888889,11,4.9957612656846,6.43810868454223
"54",6.0443740686303,0.748168756907798,6.982222222,11,5.2962053117225,6.7925428255381
"55",6.36685735056388,0.77029767605683,7.126666667,11,5.59655967450705,7.13715502662071
"56",6.62112596802934,0.791190335850937,6.562222222,11,5.8299356321784,7.41231630388028
"57",6.7392976453207,0.822992740457858,6.331111111,11,5.91630490486284,7.56229038577856
"58",6.68797983270611,0.863443272042119,6.766666667,11,5.82453656066399,7.55142310474823
"59",6.4869188006659,0.960146832137712,5.948888889,11,5.52677196852819,7.44706563280362
"60",6.22168115689768,1.04416532250646,6.757777778,11,5.17751583439123,7.26584647940414
"61",5.99795398459844,1.14814443833619,5.571111111,11,4.84980954626225,7.14609842293463
"62",5.9095030879367,1.23709861489545,6.631111111,11,4.67240447304125,7.14660170283215
"63",5.97688555198322,1.42367125795904,7.082222222,11,4.55321429402418,7.40055680994226
"64",6.20000721355871,1.5761436919185,5.855555556,11,4.6238635216402,7.77615090547721
